Trial,Average Fitness,Average Distance,Best Fitness,Best Distance,Best Route,Worst Fitness,Worst Distance,Worst Route
301001,2.559972507685466E-6,392342.4713875934,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.4663724404327523E-6,405453.76829808357,G-A-B-I-M-E-H-L-J-C-K-D-F-G
302001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-H-L-J-C-K-D-I-F
303001,2.1105915322269565E-6,483819.0097629826,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.8554813782806625E-6,538943.7003817447,A-B-F-M-G-E-H-L-D-C-K-J-I-A
304001,2.3488355121510433E-6,434157.98250324075,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.7532860719056754E-6,570357.579418334,I-A-D-M-G-E-H-L-J-B-C-K-F-I
305001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-H-L-J-C-K-D-I-F
306001,2.8362297753440984E-6,354430.6677036312,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.6578205701883124E-6,376248.12269744294,F-A-B-M-G-E-H-J-L-C-K-D-I-F
307001,2.7056562145956374E-6,369929.34288483567,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.252904725757639E-6,443871.41123498057,I-A-B-M-G-E-H-L-F-J-C-K-D-I
308001,2.334352225944968E-6,435559.4575054834,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.870284710375508E-6,534677.9527482872,F-A-B-M-G-E-H-L-J-I-K-D-C-F
309001,2.002443314042762E-6,511427.15042261826,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.816636005097883E-6,550468.0063555817,B-I-M-G-E-H-L-J-A-C-K-D-F-B
310001,2.990140299510028E-6,334590.49592029577,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.963180720501943E-6,337475.1978781121,I-M-B-A-G-E-H-L-J-C-K-D-F-I
311001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-H-L-J-C-K-D-I-F
312001,2.7921506584871355E-6,358601.7408205106,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.1925821273570786E-6,456083.2579646137,A-B-M-G-E-H-L-J-I-C-K-D-F-A
313001,2.8413379185824426E-6,352276.35556474124,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.815343593452877E-6,355196.43226692284,A-I-B-M-G-E-H-L-J-C-K-D-F-A
314001,2.5271551981382235E-6,403011.50814721076,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.2762449242858785E-6,439320.03508529643,F-A-B-M-G-J-H-L-E-C-K-D-I-F
315001,2.775966548075428E-6,361848.8101966242,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.659450128688101E-6,376017.5794284577,F-A-B-E-G-M-H-L-J-C-K-D-I-F
316001,2.316840816218587E-6,433325.5300387737,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.1925821273570786E-6,456083.25796461373,F-A-B-M-G-E-H-L-J-I-C-K-D-F
